,пятерочки,айди_магазина,магазины
20604,3,1719,11
20621,4,1720,10
20631,2,1721,6
21196,1,1768,9
21460,1,1790,5
21471,2,1791,6
21477,2,1792,11
21497,0,1793,5
21508,1,1794,3
21512,2,1795,4
21532,0,1796,3
21545,2,1797,4
21555,1,1798,9
21571,2,1799,7
21583,1,1800,6
21595,2,1801,5
21606,0,1802,3
23566,1,1966,4
23762,0,1982,2
23813,0,1986,2
24209,2,2020,6
24273,1,2025,4
24338,2,2030,8
24421,0,2037,5
25675,0,2142,1
25915,2,2162,6
25942,1,2164,4
26012,1,2170,2
26022,1,2171,6
26367,1,2199,1
26390,2,2201,8
27309,0,2278,2
27319,2,2279,7
27354,2,2282,7
27408,1,2286,6
27428,1,2288,6
27443,3,2289,4
27541,3,2297,10
27682,1,2309,10
27691,3,2310,5
27701,1,2311,6
27935,0,2330,3
28085,1,2343,8
28123,2,2346,4
28482,1,2376,8
29053,2,2423,6
29175,2,2433,5
29217,1,2437,4
29229,2,2438,6
29262,0,2441,2
29281,2,2442,11
29292,1,2443,6
29328,0,2446,1
29387,1,2451,5
29488,1,2460,3
29523,0,2462,4
29534,0,2463,4
29617,0,2470,2
29621,2,2471,8
29633,1,2472,3
29655,3,2473,10
29660,2,2474,7
29673,0,2475,1
29688,1,2476,1
30151,3,2515,8
30188,1,2518,6
30566,4,2549,10
30629,3,2555,9
30857,2,2574,5
31108,0,2595,4
31177,0,2600,0
31227,2,2604,4
31377,3,2617,8
31399,3,2619,9
31553,0,2632,2
31572,1,2633,4
31582,2,2634,8
31593,2,2635,6
31623,2,2637,7
31661,0,2641,4
31674,0,2642,4
31701,3,2644,10
31791,0,2651,6
31799,1,2652,4
31804,2,2653,7
31949,1,2665,11
31966,0,2666,7
32021,2,2671,6
32064,3,2674,9
32109,2,2678,10
32292,0,2693,7
32402,1,2702,6
32408,0,2703,4
32547,2,2714,11
32726,1,2729,1
32739,4,2730,7
32752,1,2732,2
32812,2,2737,5
32867,2,2741,4
32896,2,2744,6
32910,0,2745,2
33010,2,2753,5
33045,0,2756,4
33249,1,2773,3
33265,0,2774,0
33300,2,2777,2
33313,1,2778,6
33494,2,2793,8
33504,1,2794,4
33508,2,2795,7
33541,2,2797,6
33544,1,2798,5
33557,1,2799,2
33587,0,2801,3
33731,1,2813,4
33812,2,2820,4
34171,0,2850,4
34325,2,2863,8
34629,2,2888,7
34637,2,2889,8
34653,0,2890,3
34663,1,2891,9
34681,1,2892,2
34757,2,2899,6
34779,6,2900,13
34817,2,2904,8
34829,2,2905,6
34857,2,2907,8
34932,1,2913,6
34938,0,2914,5
35009,2,2920,7
35029,4,2921,6
35039,1,2922,6
35055,0,2923,6
35410,4,2953,7
35445,0,2956,0
35475,1,2958,4
35750,1,2982,5
36073,2,3008,4
36074,1,3009,5
36240,1,3022,4
36307,0,3028,6
36602,1,3053,4
36691,2,3060,3
36702,0,3061,3
36756,2,3065,4
36842,3,3073,8
37253,0,3107,0
37266,3,3108,8
37280,2,3109,6
37287,0,3110,0
37316,5,3112,6
37407,1,3120,4
37464,1,3124,4
37699,3,3144,7
37734,0,3147,6
37742,0,3148,4
37755,0,3149,3
37779,1,3151,4
37792,0,3152,2
37877,1,3159,3
37923,1,3163,6
38064,2,3174,6
38386,0,3201,8
38479,0,3209,2
38491,0,3210,0
38612,0,3220,3
38622,1,3221,7
38645,1,3223,3
38663,0,3224,1
38675,1,3225,3
38793,3,3235,9
38956,0,3249,1
39009,1,3253,3
39041,2,3256,8
39199,2,3269,7
39525,0,3296,2
39578,3,3301,9
39720,0,3312,4
39987,0,3335,2
40047,2,3340,9
40179,2,3351,6
40514,1,3379,5
40530,1,3380,6
40619,2,3387,10
40670,1,3392,5
40694,2,3394,8
40901,1,3411,3
41239,1,3439,3
41259,1,3441,3
41276,3,3442,5
41299,2,3444,9
41355,1,3449,3
41377,1,3451,10
41410,0,3454,4
41595,3,3469,5
41656,0,3474,3
41761,1,3483,2
41835,1,3489,3
41984,2,3501,6
42044,0,3506,4
42150,1,3515,3
42345,0,3531,4
42515,1,3546,2
42662,0,3558,3
42944,0,3581,6
42960,2,3583,9
43072,0,3592,0
43200,2,3603,9
43259,0,3608,0
43271,1,3609,3
43287,1,3610,6
43305,0,3611,5
43389,2,3618,7
43397,2,3619,7
43413,2,3620,6
43420,3,3621,10
43467,1,3625,4
43503,1,3628,2
43512,2,3629,8
43531,0,3630,3
43587,0,3635,3
43612,0,3637,1
43707,4,3645,7
43803,0,3653,5
43832,0,3655,4
43845,1,3656,4
43910,1,3662,7
43941,2,3664,4
44063,0,3675,3
44100,3,3678,6
44206,0,3687,3
