,выручка,дата_открытия
187,57940142.75,Средний по возрасту
188,63537419.776,Средний по возрасту
189,66870825.91,Средний по возрасту
190,67207418.263,Средний по возрасту
191,77162371.875,Средний по возрасту
192,51467900.339,Средний по возрасту
193,52824414.185,Средний по возрасту
194,59196293.052,Средний по возрасту
195,57502427.475,Средний по возрасту
196,59101362.956,Средний по возрасту
197,55484527.557,Средний по возрасту
198,56757475.535,Средний по возрасту
199,56509590.049,Средний по возрасту
200,57365811.555,Средний по возрасту
201,58677643.313,Средний по возрасту
202,59307350.502,Средний по возрасту
203,67038323.023,Средний по возрасту
204,55085125.652,Средний по возрасту
205,57052646.715,Средний по возрасту
206,61998234.121,Средний по возрасту
207,58877490.164,Средний по возрасту
208,60053605.889,Средний по возрасту
209,55812175.419,Средний по возрасту
210,55790993.511,Средний по возрасту
211,56761574.809,Средний по возрасту
212,57339949.457,Средний по возрасту
213,62404457.002,Средний по возрасту
214,60326611.461,Средний по возрасту
215,66979654.644,Средний по возрасту
216,40080647.029,Новый
217,39256713.864,Новый
218,47959948.402,Новый
219,40718101.857,Новый
220,41722804.011,Новый
221,38292271.417,Новый
222,39110836.968,Новый
223,38225003.39,Новый
224,39333528.992,Новый
225,39112744.701,Новый
226,39453038.469,Новый
227,46466522.66,Новый
228,47111174.519,Средний по возрасту
229,48758810.691,Средний по возрасту
230,55219833.653,Средний по возрасту
231,53794234.865,Средний по возрасту
232,54598467.041,Средний по возрасту
233,52680250.44,Средний по возрасту
234,53685384.354,Средний по возрасту
235,49347808.383,Средний по возрасту
236,50633902.711,Средний по возрасту
237,57341942.436,Средний по возрасту
238,58447420.917,Средний по возрасту
239,65469796.544,Средний по возрасту
240,114497277.687,Средний по возрасту
241,115671429.471,Средний по возрасту
242,128216261.021,Средний по возрасту
243,114727325.411,Средний по возрасту
244,117462015.752,Средний по возрасту
245,111827063.076,Средний по возрасту
246,109904957.502,Средний по возрасту
247,109876391.815,Средний по возрасту
248,103195684.349,Средний по возрасту
249,103086057.878,Средний по возрасту
250,103765085.192,Средний по возрасту
251,122408707.958,Средний по возрасту
252,46195933.236,Средний по возрасту
253,44501275.391,Средний по возрасту
254,48535205.22,Средний по возрасту
255,47677089.974,Средний по возрасту
256,47893009.79,Средний по возрасту
257,43044532.407,Средний по возрасту
258,41184068.243,Средний по возрасту
259,42566070.601,Средний по возрасту
260,43502948.938,Средний по возрасту
261,46853578.134,Средний по возрасту
262,48094684.92,Средний по возрасту
263,53492745.25,Средний по возрасту
264,63125860.481,Средний по возрасту
265,66893580.329,Средний по возрасту
266,72326777.278,Средний по возрасту
267,64934499.835,Средний по возрасту
268,69131994.783,Средний по возрасту
269,63413346.281,Средний по возрасту
270,60127298.54,Средний по возрасту
271,62300945.667,Средний по возрасту
272,67313922.006,Средний по возрасту
273,68509680.143,Средний по возрасту
274,73347108.934,Средний по возрасту
275,79854273.123,Средний по возрасту
276,49298227.712,Средний по возрасту
277,49915285.572,Средний по возрасту
278,53608782.687,Средний по возрасту
279,50351386.96,Средний по возрасту
280,52968645.74,Средний по возрасту
281,50582035.884,Средний по возрасту
282,52452591.145,Средний по возрасту
283,50755900.859,Средний по возрасту
284,50568637.246,Средний по возрасту
285,53954008.334,Средний по возрасту
286,54819888.267,Средний по возрасту
287,63729142.681,Средний по возрасту
288,61434024.499,Средний по возрасту
289,60896823.598,Средний по возрасту
290,66552396.469,Средний по возрасту
291,61936907.378,Средний по возрасту
292,65220447.322,Средний по возрасту
293,60950046.145,Средний по возрасту
294,60394818.443,Средний по возрасту
295,58479272.93,Средний по возрасту
296,54099177.052,Средний по возрасту
297,52821724.914,Средний по возрасту
298,55107624.168,Средний по возрасту
299,63217165.351,Средний по возрасту
300,65562063.807,Средний по возрасту
301,66689647.698,Средний по возрасту
302,69753259.75,Средний по возрасту
303,64898798.856,Средний по возрасту
304,68956808.033,Средний по возрасту
305,64787617.189,Средний по возрасту
306,63204936.986,Средний по возрасту
307,60674737.104,Средний по возрасту
308,61543612.613,Средний по возрасту
309,68756416.355,Средний по возрасту
310,70621939.643,Средний по возрасту
311,84848285.504,Средний по возрасту
312,44768586.004,Средний по возрасту
313,44878728.053,Средний по возрасту
314,49439236.551,Средний по возрасту
315,48137783.23,Средний по возрасту
316,53353559.372,Средний по возрасту
317,49178860.065,Средний по возрасту
318,48179306.146,Средний по возрасту
319,45990436.066,Средний по возрасту
320,45481645.287,Средний по возрасту
321,48124795.686,Средний по возрасту
322,48065588.332,Средний по возрасту
323,53359825.203,Средний по возрасту
324,80122656.233,Средний по возрасту
325,83376093.692,Средний по возрасту
326,92085968.83,Средний по возрасту
327,86106647.742,Средний по возрасту
328,85794707.513,Средний по возрасту
329,78357048.859,Средний по возрасту
330,74620626.182,Средний по возрасту
331,76699723.445,Средний по возрасту
332,85634034.993,Средний по возрасту
333,89642635.449,Средний по возрасту
334,91982585.909,Средний по возрасту
335,108471114.886,Средний по возрасту
336,77491967.947,Средний по возрасту
337,79483550.877,Средний по возрасту
338,90295693.132,Средний по возрасту
339,84443022.705,Средний по возрасту
340,84792994.176,Средний по возрасту
341,77338627.42,Средний по возрасту
342,73737076.436,Средний по возрасту
343,71476086.503,Средний по возрасту
344,75791360.263,Средний по возрасту
345,81708181.386,Средний по возрасту
346,83101959.792,Средний по возрасту
347,95950605.642,Средний по возрасту
348,116516991.717,Средний по возрасту
349,119642612.444,Средний по возрасту
350,134003645.154,Средний по возрасту
351,126861876.821,Средний по возрасту
352,123496600.956,Средний по возрасту
353,108852376.689,Средний по возрасту
354,107936139.606,Средний по возрасту
355,110778240.234,Средний по возрасту
356,120127749.299,Средний по возрасту
